k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,4,0.01,0.02,0.03,0.163746150616,0.0048001686552,0.00476837945881,0.00956854811402
0.2,4,0.01,0.02,0.035,0.160503759592,0.00470511894748,0.00545295242258,0.0101580713701
0.2,4,0.01,0.02,0.04,0.157325572213,0.00461195135007,0.00610854483453,0.0107204961846
0.2,4,0.01,0.02,0.045,0.154210317161,0.00452062859469,0.00673603598547,0.0112566645802
0.2,4,0.01,0.02,0.05,0.151156748291,0.00443111415103,0.00733628170701,0.011767395858
0.2,4,0.01,0.02,0.055,0.148163644136,0.00434337221211,0.00791011495583,0.0122534871679
0.2,4,0.01,0.02,0.06,0.145229807415,0.00425736767999,0.00845834638408,0.0127157140641
0.2,4,0.01,0.02,0.065,0.142354064553,0.0041730661517,0.00898176489605,0.0131548310478
0.2,4,0.01,0.02,0.07,0.139535265214,0.00409043390552,0.00948113819161,0.0135715720971
0.2,4,0.01,0.02,0.075,0.136772281842,0.00400943788744,0.00995721329663,0.0139666511841
0.2,4,0.01,0.02,0.08,0.134064009207,0.00393004569798,0.0104107170807,0.0143407627787
0.2,4,0.01,0.02,0.085,0.131409363963,0.00385222557919,0.0108423567626,0.0146945823418
0.2,4,0.01,0.02,0.09,0.128807284217,0.003775946402,0.0112528204033,0.0150287668053
0.2,4,0.01,0.02,0.095,0.126256729101,0.00370117765372,0.0116427773875,0.0153439550412
0.2,4,0.01,0.02,0.1,0.123756678361,0.00362788942585,0.0120128788935,0.0156407683194
0.2,4,0.01,0.02,0.105,0.121306131943,0.00355605240212,0.0123637583517,0.0159198107539
0.2,4,0.01,0.02,0.11,0.118904109594,0.00348563784677,0.0126960318922,0.016181669739
0.2,4,0.01,0.02,0.115,0.116549650475,0.00341661759303,0.0130102987814,0.0164269163744
0.2,4,0.01,0.02,0.12,0.11424181277,0.00334896403188,0.0133071418485,0.0166561058804
0.2,4,0.01,0.02,0.125,0.111979673313,0.003282650101,0.0135871279015,0.0168697780025
0.2,4,0.01,0.02,0.13,0.109762327219,0.00321764927394,0.0138508081328,0.0170684574068
0.2,4,0.01,0.02,0.135,0.107588887519,0.00315393554948,0.0140987185159,0.0172526540654
0.2,4,0.01,0.02,0.14,0.105458484809,0.00309148344129,0.0143313801914,0.0174228636327
0.2,4,0.01,0.02,0.145,0.103370266898,0.00303026796771,0.0145492998449,0.0175795678126
0.2,4,0.01,0.02,0.15,0.101323398473,0.00297026464171,0.0147529700747,0.0177232347164
0.2,4,0.01,0.02,0.155,0.0993170607583,0.00291144946117,0.0149428697511,0.0178543192122
0.2,4,0.01,0.02,0.16,0.097350451192,0.00285379889924,0.0151194643668,0.0179732632661
0.2,4,0.01,0.02,0.165,0.0954227831042,0.00279728989492,0.0152832063795,0.0180804962745
0.2,4,0.01,0.02,0.17,0.093533285402,0.00274189984386,0.0154345355449,0.0181764353887
0.2,4,0.01,0.02,0.175,0.091681202261,0.00268760658929,0.0155738792426,0.0182614858318
0.2,4,0.01,0.02,0.18,0.0898657928234,0.00263438841319,0.0157016527938,0.018336041207
0.2,4,0.01,0.02,0.185,0.0880863309012,0.00258222402758,0.0158182597716,0.0184004837992
0.2,4,0.01,0.02,0.19,0.0863421046858,0.00253109256602,0.0159240923028,0.0184551848688
0.2,4,0.01,0.02,0.195,0.0846324164635,0.00248097357523,0.0160195313632,0.0185005049385
